city,cloudiness,country,date,humidity,latitude,longitude,max_Temp,wind_Speed
Qaanaaq,87,GL,1570240180,98,77.48,-69.36,-6.01,0.71
Hobart,20,AU,1570240180,40,-42.88,147.33,15.0,5.7
Georgetown,40,GY,1570240181,94,6.8,-58.16,26.0,2.1
Amalapuram,100,IN,1570240181,83,16.58,82.0,28.0,2.1
Chuy,100,UY,1570240181,98,-33.69,-53.46,14.65,3.4
Ushuaia,75,AR,1570240182,94,-54.81,-68.31,1.0,15.9
Tiksi,99,RU,1570240042,88,71.64,128.87,-6.42,13.31
Leningradskiy,100,RU,1570240182,92,69.38,178.42,3.47,9.35
Lebanon,1,US,1570240183,61,40.34,-76.42,10.56,3.1
Amahai,38,ID,1570240183,84,-3.31,129.0,26.1,4.64
Panama City,1,US,1570239903,78,30.16,-85.65,28.33,2.6
Punta Arenas,40,CL,1570240185,51,-53.16,-70.91,4.0,5.7
Port Alfred,0,ZA,1570240185,86,-33.59,26.89,13.89,0.79
Sobolevo,5,RU,1570240186,97,54.43,31.9,2.96,1.6
Oratorio,40,GT,1570240189,93,14.23,-90.18,24.0,2.1
Saskylakh,0,RU,1570240189,89,71.97,114.09,-8.05,2.27
Diapaga,100,BF,1570240189,83,12.07,1.79,23.62,3.58
Pasni,100,PK,1570240190,70,25.26,63.48,26.72,1.374
Busselton,83,AU,1570240190,72,-33.64,115.35,16.11,2.24
Luanda,75,AO,1570240190,83,-8.83,13.24,24.0,2.6
Hilo,75,US,1570240191,58,19.71,-155.08,30.0,4.1
Bethel,40,US,1570240191,52,60.79,-161.76,8.0,6.7
Dikson,100,RU,1570240191,86,73.51,80.55,-3.57,10.23
Severo-Kurilsk,100,RU,1570240193,96,50.68,156.12,3.05,9.56
Yabrud,0,SY,1570240193,66,33.97,36.66,11.0,3.1
Meulaboh,100,ID,1570240194,79,4.14,96.13,26.82,6.0
Victoria,75,BN,1570240018,74,5.28,115.24,28.0,1.5
Nome,1,US,1570240196,83,30.04,-94.42,28.33,2.1
Kodiak,1,US,1570240196,76,39.95,-94.76,13.33,4.1
Bluff,0,AU,1570240197,18,-23.58,149.07,30.44,5.1
La Ronge,90,CA,1570240197,75,55.1,-105.3,8.0,7.2
Cape Town,0,ZA,1570239910,87,-33.93,18.42,13.89,1.0
Tabas,20,IR,1570240197,20,33.6,56.92,19.0,1.0
Mataura,32,NZ,1570240198,54,-46.19,168.86,10.0,6.71
Touros,20,BR,1570240198,83,-5.2,-35.46,23.0,2.1
Mahebourg,75,MU,1570240199,88,-20.41,57.7,23.0,3.1
Lorengau,100,PG,1570240199,82,-2.02,147.27,26.86,3.39
Rikitea,100,PF,1570240201,80,-23.12,-134.97,21.17,10.6
Castro,90,CL,1570240201,87,-42.48,-73.76,6.0,2.1
Hermanus,0,ZA,1570240202,73,-34.42,19.24,15.25,3.27
Montenegro,20,BR,1570240202,100,-29.68,-51.47,21.11,1.8
Nikolayevsk-na-amure,0,RU,1570240202,36,53.14,140.72,8.15,3.29
Biltine,100,TD,1570240202,56,14.53,20.93,28.48,6.02
Bay Roberts,90,CA,1570240203,74,47.58,-53.28,3.89,3.6
Arman,0,RU,1570240203,68,59.7,150.17,-2.55,0.97
Geraldton,5,CA,1570240204,91,49.72,-86.95,3.0,1.0
Arraial do Cabo,0,BR,1570240204,79,-22.97,-42.02,22.33,10.38
Albany,20,US,1570240204,61,42.65,-73.75,8.0,3.6
Bereda,90,ES,1570240205,100,43.27,-7.54,13.33,2.1
Ono,20,JP,1570240205,57,34.86,134.95,26.67,2.1
Kapaa,20,US,1570240205,70,22.08,-159.32,30.0,6.7
Christchurch,98,NZ,1570239915,66,-43.53,172.64,10.0,6.2
Poya,65,NC,1570240206,76,-21.35,165.16,20.91,7.38
Carnarvon,0,ZA,1570240206,23,-30.97,22.13,9.14,1.15
Vaini,75,IN,1570240207,94,15.34,74.49,21.0,0.531
Upernavik,100,GL,1570240207,76,72.79,-56.15,2.6,3.29
Tevriz,95,RU,1570240207,96,57.51,72.4,10.8,2.96
Saint-Pierre,90,FR,1570240208,93,48.95,4.24,13.0,4.6
Butaritari,100,KI,1570240209,71,3.07,172.79,28.37,5.69
Gap,12,FR,1570240210,93,44.56,6.08,6.27,2.27
