Processing city number 1 | qaanaaq
Processing city number 2 | hobart
Processing city number 3 | georgetown
Processing city number 4 | amalapuram
Processing city number 5 | chuy
Processing city number 6 | ushuaia
Processing city number 7 | tiksi
Processing city number 8 | leningradskiy
Processing city number 9 | lebanon
Processing city number 10 | amahai
Processing city number 11 | panama city
Processing city number 12 | sao raimundo nonato
Error skipping this city (1)
 Processing city number 13 | punta arenas
Processing city number 14 | port alfred
Processing city number 15 | sobolevo
Processing city number 16 | bengkulu
Error skipping this city (2)
 Processing city number 17 | oratorio
Processing city number 18 | saskylakh
Processing city number 19 | diapaga
Processing city number 20 | pasni
Processing city number 21 | busselton
Processing city number 22 | luanda
Processing city number 23 | hilo
Processing city number 24 | bethel
Processing city number 25 | dikson
Processing city number 26 | illoqqortoormiut
Error skipping this city (3)
 Processing city number 27 | severo-kurilsk
Processing city number 28 | yabrud
Processing city number 29 | meulaboh
Processing city number 30 | sentyabrskiy
Error skipping this city (4)
 Processing city number 31 | victoria
Processing city number 32 | nome
Processing city number 33 | kodiak
Processing city number 34 | bluff
Processing city number 35 | la ronge
Processing city number 36 | cape town
Processing city number 37 | tabas
Processing city number 38 | mataura
Processing city number 39 | touros
Processing city number 40 | mahebourg
Processing city number 41 | lorengau
Processing city number 42 | barentsburg
Error skipping this city (5)
 Processing city number 43 | rikitea
Processing city number 44 | castro
Processing city number 45 | hermanus
Processing city number 46 | montenegro
Processing city number 47 | nikolayevsk-na-amure
Processing city number 48 | biltine
Processing city number 49 | bay roberts
Processing city number 50 | arman
Processing city number 51 | geraldton
Processing city number 52 | arraial do cabo
Processing city number 53 | albany
Processing city number 54 | bereda
Processing city number 55 | ono
Processing city number 56 | kapaa
Processing city number 57 | christchurch
Processing city number 58 | poya
Processing city number 59 | carnarvon
Processing city number 60 | vaini
Processing city number 61 | upernavik
Processing city number 62 | tevriz
Processing city number 63 | saint-pierre
Processing city number 64 | taolanaro
Error skipping this city (6)
 Processing city number 65 | butaritari
Processing city number 66 | gap
Processing city number 67 | atuona
Processing city number 68 | halalo
Error skipping this city (7)
 Processing city number 69 | ust-kamchatsk
Error skipping this city (8)
 Processing city number 70 | nelson bay
Processing city number 71 | ciudad real
Processing city number 72 | labuhan
Processing city number 73 | hithadhoo
Processing city number 74 | katangli
Processing city number 75 | chokurdakh
Processing city number 76 | hay river
Processing city number 77 | bubaque
Processing city number 78 | coolum beach
Processing city number 79 | hami
Processing city number 80 | kolkwitz
Processing city number 81 | ayan
Processing city number 82 | newberry
Processing city number 83 | praia da vitoria
Processing city number 84 | lalmohan
Processing city number 85 | narsaq
Processing city number 86 | belushya guba
Error skipping this city (9)
 Processing city number 87 | vestmannaeyjar
Processing city number 88 | athens
Processing city number 89 | pandrup
Processing city number 90 | eureka
Processing city number 91 | mangalia
Processing city number 92 | teguldet
Processing city number 93 | chistogorskiy
Processing city number 94 | samusu
Error skipping this city (10)
 Processing city number 95 | sisimiut
Processing city number 96 | umzimvubu
Error skipping this city (11)
 Processing city number 97 | san juan
Processing city number 98 | nabire
Processing city number 99 | calvinia
Processing city number 100 | nusaybin
Processing city number 101 | mecca
Processing city number 102 | mandalgovi
Processing city number 103 | mar del plata
Processing city number 104 | barrow
Processing city number 105 | kiruna
Processing city number 106 | vardo
Processing city number 107 | jilib
Processing city number 108 | mitsamiouli
Processing city number 109 | bowen
Processing city number 110 | grindavik
Processing city number 111 | chengde
Processing city number 112 | asarganj
Processing city number 113 | cidreira
Processing city number 114 | minot
Processing city number 115 | santa rosa
Processing city number 116 | nanortalik
Processing city number 117 | shimanovsk
Processing city number 118 | samfya
Processing city number 119 | tomatlan
Processing city number 120 | karratha
Processing city number 121 | viransehir
Processing city number 122 | eravur
Processing city number 123 | kanniyakumari
Processing city number 124 | burica
Error skipping this city (12)
 Processing city number 125 | the pas
Processing city number 126 | puerto ayora
Processing city number 127 | new norfolk
Processing city number 128 | tigil
Processing city number 129 | bokoro
Error skipping this city (13)
 Processing city number 130 | cairns
Processing city number 131 | qinhuangdao
Processing city number 132 | guerrero negro
Processing city number 133 | temaraia
Error skipping this city (14)
 Processing city number 134 | tuktoyaktuk
Processing city number 135 | molde
Processing city number 136 | paredon
Processing city number 137 | avarua
Processing city number 138 | clyde river
Processing city number 139 | saldanha
Processing city number 140 | ancud
Processing city number 141 | saleaula
Error skipping this city (15)
 Processing city number 142 | avera
Processing city number 143 | cherskiy
Processing city number 144 | tessalit
Processing city number 145 | beboto
Processing city number 146 | mayumba
Processing city number 147 | honningsvag
Processing city number 148 | kruisfontein
Processing city number 149 | longyearbyen
Processing city number 150 | ponta do sol
Processing city number 151 | mercedes
Processing city number 152 | hobbs
Processing city number 153 | sao filipe
Processing city number 154 | provideniya
Processing city number 155 | lagoa
Processing city number 156 | chilca
Processing city number 157 | jiangkou
Processing city number 158 | honiara
Processing city number 159 | muisne
Processing city number 160 | chapais
Processing city number 161 | khatanga
Processing city number 162 | bredasdorp
Processing city number 163 | pecos
Processing city number 164 | maumere
Processing city number 165 | indi
Processing city number 166 | kaduqli
Processing city number 167 | grand river south east
Error skipping this city (16)
 Processing city number 168 | saint george
Processing city number 169 | yar-sale
Processing city number 170 | fortuna
Processing city number 171 | ilhabela
Processing city number 172 | truth or consequences
Processing city number 173 | paamiut
Processing city number 174 | isangel
Processing city number 175 | opelika
Processing city number 176 | soyo
Processing city number 177 | itaituba
Processing city number 178 | venado tuerto
Processing city number 179 | broome
Processing city number 180 | mount isa
Processing city number 181 | port elizabeth
Processing city number 182 | tottori
Processing city number 183 | speightstown
Processing city number 184 | aklavik
Processing city number 185 | bertoua
Processing city number 186 | tsihombe
Error skipping this city (17)
 Processing city number 187 | vila velha
Processing city number 188 | khawhai
Processing city number 189 | salinas
Processing city number 190 | kanth
Processing city number 191 | barcelos
Processing city number 192 | jamestown
Processing city number 193 | airai
Processing city number 194 | mount darwin
Processing city number 195 | farafangana
Processing city number 196 | kalmunai
Processing city number 197 | tasiilaq
Processing city number 198 | katha
Error skipping this city (18)
 Processing city number 199 | rijeka
Processing city number 200 | saint-philippe
Processing city number 201 | banda aceh
Processing city number 202 | salmo
Processing city number 203 | alofi
Processing city number 204 | san jeronimo
Processing city number 205 | puerto cabezas
Processing city number 206 | east london
Processing city number 207 | roma
Processing city number 208 | iqaluit
Processing city number 209 | richards bay
Processing city number 210 | aberdeen
Processing city number 211 | xuddur
Processing city number 212 | tura
Processing city number 213 | kemijarvi
Error skipping this city (19)
 Processing city number 214 | faanui
Processing city number 215 | lovozero
Processing city number 216 | bargal
Error skipping this city (20)
 Processing city number 217 | marawi
Processing city number 218 | yorkton
Processing city number 219 | souillac
Processing city number 220 | banjarmasin
Processing city number 221 | bennington
Processing city number 222 | olot
Processing city number 223 | sampues
Processing city number 224 | santa leopoldina
Processing city number 225 | gazanjyk
Processing city number 226 | juifang
Error skipping this city (21)
 Processing city number 227 | baboua
Error skipping this city (22)
 Processing city number 228 | maroantsetra
Processing city number 229 | nouadhibou
Processing city number 230 | yellowknife
Processing city number 231 | poplar bluff
Processing city number 232 | tezu
Processing city number 233 | anadyr
Processing city number 234 | gao
Processing city number 235 | tommot
Processing city number 236 | pevek
Processing city number 237 | valle de allende
Processing city number 238 | nikolskoye
Processing city number 239 | esperance
Processing city number 240 | were ilu
Processing city number 241 | kavieng
Processing city number 242 | lebu
Processing city number 243 | belaya kholunitsa
Processing city number 244 | belmonte
Processing city number 245 | awjilah
Processing city number 246 | gotsu
Processing city number 247 | yablonovo
Processing city number 248 | maniitsoq
Processing city number 249 | verkhnevilyuysk
Processing city number 250 | kaitangata
Processing city number 251 | montepuez
Processing city number 252 | vaitupu
Error skipping this city (23)
 Processing city number 253 | requena
Processing city number 254 | dohar
Processing city number 255 | karaul
Error skipping this city (24)
 Processing city number 256 | mahbubabad
Processing city number 257 | sayyan
Processing city number 258 | berlevag
Processing city number 259 | pangai
Processing city number 260 | patnagarh
Processing city number 261 | sur
Processing city number 262 | egvekinot
Processing city number 263 | garowe
Processing city number 264 | tres passos
Processing city number 265 | byron bay
Processing city number 266 | nedjo
Processing city number 267 | erenhot
Processing city number 268 | magistralnyy
Processing city number 269 | alberton
Processing city number 270 | chum phae
Processing city number 271 | wanaka
Processing city number 272 | thunder bay
Processing city number 273 | eyl
Processing city number 274 | muhos
Processing city number 275 | cascais
Processing city number 276 | portland
Processing city number 277 | horasan
Processing city number 278 | guymon
Processing city number 279 | samana
Processing city number 280 | thinadhoo
Processing city number 281 | thompson
Processing city number 282 | lompoc
Processing city number 283 | wajima
Processing city number 284 | kieta
Processing city number 285 | salalah
Processing city number 286 | ribeira grande
Processing city number 287 | codrington
Processing city number 288 | baykit
Processing city number 289 | haines junction
Processing city number 290 | kamenskoye
Error skipping this city (25)
 Processing city number 291 | ambovombe
Processing city number 292 | pacific grove
Processing city number 293 | baltay
Processing city number 294 | marzuq
Processing city number 295 | bandarbeyla
Processing city number 296 | wanning
Processing city number 297 | dingle
Processing city number 298 | puerto madryn
Processing city number 299 | nampula
Processing city number 300 | khotynets
Processing city number 301 | kolyshley
Processing city number 302 | batagay
Processing city number 303 | kamenka
Processing city number 304 | mirnyy
Processing city number 305 | bambous virieux
Processing city number 306 | durazno
Processing city number 307 | yeletskiy
Error skipping this city (26)
 Processing city number 308 | sao joao da barra
Processing city number 309 | torbay
Processing city number 310 | katsuura
Processing city number 311 | cockburn town
Processing city number 312 | sartell
Processing city number 313 | vysokogornyy
Processing city number 314 | yuanping
Processing city number 315 | axim
Processing city number 316 | matara
Processing city number 317 | demir kapija
Processing city number 318 | salisbury
Processing city number 319 | tuatapere
Processing city number 320 | qaqortoq
Processing city number 321 | hasaki
Processing city number 322 | kampot
Processing city number 323 | amderma
Error skipping this city (27)
 Processing city number 324 | lasa
Processing city number 325 | palabuhanratu
Error skipping this city (28)
 Processing city number 326 | beaupre
Processing city number 327 | kango
Processing city number 328 | camacha
Processing city number 329 | mys shmidta
Error skipping this city (29)
 Processing city number 330 | huancabamba
Processing city number 331 | haifa
Processing city number 332 | oster
Processing city number 333 | imbituba
Processing city number 334 | mendahara
Error skipping this city (30)
 Processing city number 335 | nizhneyansk
Error skipping this city (31)
 Processing city number 336 | rio gallegos
Processing city number 337 | rawannawi
Error skipping this city (32)
 Processing city number 338 | cumanayagua
Processing city number 339 | dzhusaly
Error skipping this city (33)
 Processing city number 340 | verkhoyansk
Processing city number 341 | korla
Error skipping this city (34)
 Processing city number 342 | perelyub
Processing city number 343 | kirakira
Processing city number 344 | darnah
Processing city number 345 | hovd
Processing city number 346 | llanes
Processing city number 347 | sharanga
Processing city number 348 | sistranda
Processing city number 349 | khandyga
Processing city number 350 | zumikon
Processing city number 351 | tutoia
Processing city number 352 | atar
Processing city number 353 | rolim de moura
Error skipping this city (35)
 Processing city number 354 | bahir dar
Processing city number 355 | dasoguz
Processing city number 356 | grojdibodu
Processing city number 357 | badajoz
Processing city number 358 | vikulovo
Processing city number 359 | dire
Processing city number 360 | marion
Processing city number 361 | corowa
Processing city number 362 | cubuk
Processing city number 363 | seddon
Processing city number 364 | boa vista
Processing city number 365 | raudeberg
Processing city number 366 | pacifica
Processing city number 367 | cockburn harbour
Error skipping this city (36)
 Processing city number 368 | biloela
Processing city number 369 | moose factory
Processing city number 370 | diego de almagro
Processing city number 371 | hofn
Processing city number 372 | sosva
Processing city number 373 | puerto baquerizo moreno
Processing city number 374 | coquimbo
Processing city number 375 | khonuu
Error skipping this city (37)
 Processing city number 376 | barabash
Processing city number 377 | cabo san lucas
Processing city number 378 | andenes
Error skipping this city (38)
 Processing city number 379 | sittingbourne
Processing city number 380 | petukhovo
Processing city number 381 | adrar
Processing city number 382 | hirado
Processing city number 383 | takoradi
Processing city number 384 | macapa
Processing city number 385 | otane
Processing city number 386 | taksimo
Processing city number 387 | sabha
Processing city number 388 | kahului
Processing city number 389 | meyungs
Error skipping this city (39)
 Processing city number 390 | san cristobal
Processing city number 391 | tabiauea
Error skipping this city (40)
 Processing city number 392 | barawe
Error skipping this city (41)
 Processing city number 393 | ubinskoye
Processing city number 394 | xai-xai
Processing city number 395 | dawei
Processing city number 396 | lesnyye polyany
Processing city number 397 | plettenberg bay
Processing city number 398 | vaitape
Processing city number 399 | asau
Error skipping this city (42)
 Processing city number 400 | srednekolymsk
